,content,Emotion
0,i maybe i up being now smaller compared people face really taught feel quite gracious,love
10,a friend of mine often had difficulties with her parents once she had a child she had a better relationship with them,joy
16,i absolutely love her and feel accepted by her at any weight,love
16,i actually didnt feel anything which shocked me,surprise
24,i actually feel a strange return to the way i felt in my early twenties before miring myself in a string of long term relatioships that lasted up until fairly recently,surprise
49,i actually went and got myself measured a couple of years ago feeling rather shocked when the woman who did the measuring informed me that i was a e,surprise
55,i admire makes me feel amazed at my life,surprise
59,i admit im feeling a bit lot overwhelmed and stressed,surprise
68,i again feel overwhelmed,surprise
79,article published,joy
90,at end of school function to celebrate leaving friends who id known for up to years,sadness
103,i already own quite a few her smoke rose up forever by triptree feeling very strange the slipsream anthology the dog said bow wow by swanwick,surprise
112,i admit that it was a great feeling to have some partner in your lead supporting and cheering for who you are and what your doing,love
121,i adore my husband and i feel treasured and loved by him,love
123,i also feel a strange sense of guilt about all the people who arent similarly situated to move to a different neighborhood,surprise
129,death of my father he died of laryngeal cancer,sadness
131,emotional reassurances by spouse,joy
149,football was a very big deal at my high school,joy
152,i also feel overwhelmed with the amount of assessments i have to complete within the next two frkn weeks t t and on top of all that im still coping with the drastic event that occurred exactly a week ago,surprise
160,i also feel that my values are little strange because my focus is in the middle ground i made that element fairly high in contrast in value while my foreground elements have no room to come forward since i already used some of my darkest values in the mid back ground,surprise
163,fear paralysing that i would not be accepted by the god who i believed to be there because i was morally bankrupt before becoming a christian and realising that that was why christ came to free us from sin and to forgive us,fear
172,i also got put off buying grated cheese for reasons quite often it was mouldy and i had to chuck it out and they put some sort of coating on the cheese which i feel really suss about it seems like some strange chemical to stop it sticking together,surprise
176,i also have the feeling that veronica and logan are not long for this world and am constantly amazed that wallaces roommate isnt gay,surprise
177,i also heard that the government felt that the patient had to be protected although i was not clear that the psychotherapy profession were doing a particularly bad job of regulating themselves and didn t feel very impressed by the record of other professions who already had statutory regulation,surprise
181,i almost feel your touch that caress so gentle and soft like angels wishes and memory as it strokes along my spine electing chills beneath my reality,love
196,going out alone in the dark,fear
209,held under water by a large wave and thought i was drowning,fear
217,at a night club watching little tarts trying to earn a living,anger
219,i always feel a little funny writing posts on a blog about myself but here goes,surprise
221,i bet that i would jump down from a window i was sure that i would jump but before i did it i rather felt fear,fear
226,i always feel amazed at how many parallel realities and uses of the city as an arena are simultaneously happening at once,surprise
227,i also cannot be the guy waking up in the alley my ass feeling suspiciously tender and my wallet missing after following out what i thought to be a female and now remember finding out was a male right before being hit over the head with a lead pipe,love
230,at an unworthy behaviour of a man,anger
231,i always feel amazed that anything like this could ever have happened,surprise
236,i fear before each exam,fear
246,i felt afraid when i smoked maryhuana for the first time in my life with a lot of friends in the middle of the street at day brake,fear
247,i always feel i m doing something i am still amazed how quickly work piles up,surprise
248,i always feel i m surprised by the quality of a show when i enjoy it so much but of course i was taken aback by just how good they sounded live said meagan hoffman a senior at clemson university,surprise
250,i had been caught redhanded having stolen some pawpaw i was then taken the elders owning the pawpaws,sadness
253,i also feel blessed knowing that my groceries will be delivered tomorrow to my doorstep without having to lift a finger,love
253,i always feel impressed when g orders at a restaurant,surprise
260,i always feel like people are curious each child as to how i m doing,surprise
267,i have high expectations for my future but if i pursue the subject in this manner i will not attain this,sadness
268,i have once been very sad and lonely this was when i was trying to organize a play as a student years instead of materializing,sadness
283,i also feel like my sinuses are really tender,love
287,i always feel weird reading stuff that i know has been translated but it seems to flow pretty well pretty authentically,surprise
294,i always give everybody the thing to give my feelings but this time after seeing meng yun and jing sand i dazed my canning not finding any language can describe the feelings that i want to give them,surprise
295,i also feel once again so blessed,love
299,i always have the feeling like asher will someday get to school and everyone will be so shocked at how much he developmentally cannot do and ill get this really worrisome phone call from his teacher hello mrs,surprise
303,i always look up to my husband anil who has been a major source of inspiration for me and feel amazed at the way he looks at life,surprise
304,i realized the girl liked to be with me,joy
309,coming home one night my sister was home,anger
318,i also feel that even though he went to the graduation he wasn t supportive or proud of me because he did not even acknowledge the accomplishment,love
331,i was really hoping that i would pass the examination,sadness
334,i was afraid when i met my uncle because this time i was with my boyfriend i thought i was not going to be given pocket money,fear
344,i also feel that supporting local farming makes more of an difference than being vegan,love
346,i am almost half way through my weddings for this year and am feeling overwhelmed or that our lovely neighbors keep leaving their trash in our yard but a few acres of land and a quiet house sound just right to me,surprise
352,i am already getting a little weepy at the thought of another year mark coming and going and at the same time feeling so amazed at the person she is becoming,surprise
358,i also feel very affectionate,love
363,i was diving below the ice,fear
373,i am asked early in the morning through an interview what brings me to krakow why and how i feel about my visit my impressions of the place and whether i am surprised that the poles have interest in hindi and hindi cinema,surprise
378,i am at the houses working with children and their self esteem self worth emotions and feelings a lot i also get to spend some time at the office with the amazing staff,surprise
389,found out that someone i knew well has been misunderstanding me for years,anger
396,i was on a trip to phillipines during summer and i was staying in a hotel the room i was staying in was very silent and had very dim lights the last night i felt frightened and lay awake i could hear some sounds around me and dared not open my eyes i waited for dawn,fear
402,i also have problems with regulating my body temperature i feel hot much of the time,love
412,i am curious how long it will take before i stop feeling amazed at how beautiful a place windsor is,surprise
416,heard about someone telling lies about me to my best friend,anger
424,i am doing why i am doing itbut still feels strange how can people do when they knew its not exactly what is to be there,surprise
426,i am ending the week feeling impressed and motivated,surprise
430,i am excited about my new plans for my business but it still feels weird,surprise
438,i also may have picked up something else for a brilliant best friend of mine who comments on my blogs and makes me feel loved,love
