,content,Emotion
27383,i feel awful about it too because it s my job to get him in a position to succeed and it just didn t happen here,sadness
110083,im alone i feel awful,sadness
100071,i was feeling a little low few days back,sadness
2046,i also feel disillusioned that someone who claimed to value the truth as i do was a fraud,sadness
106363,i wish you knew every word i write i write for you and i think it s useless because i m just heartless this feeling is empty in it s w,sadness
32503,i feel exhausted when i go home but i am always glad that i am learning new things and i can help others learn as well,sadness
91430,i stil can see kaibas face on every tv screen still see amateur duelists prowling the good side of city and still feel the urge to throttle all those idiotic mortals that dare to look me in the eye,sadness
102982,i was left kinda feeling stupid and insecure,sadness
6990,i am happy that you don t feel as burdened and consumed as i do,sadness
9036,i am still here i am not dead yet but these things can not be said without feeling humiliated,sadness
8165,i am only having day a week where i am feeling depressed or seriously anxious,sadness
113523,im feeling rotten i dont post much new material that doesnt mean you shouldnt be reading when youre feeling rotten,sadness
119356,ive been feeling pretty shitty and been in a pretty shitty mood the past few days,sadness
93645,i tend to stop breathing when i m feeling stressed,sadness
66949,i had my week appointment yesterday and left feeling a little defeated,sadness
77969,i know it isnt true but sometimes i feel like the most unimportant insignificant person on the face of the earth,sadness
53909,i feel so numb to everything right now and its hard to express exactly what i feel but we went for a little harrison walk nonetheless to clear our heads,sadness
13174,i can t really put into eloquent words what i m trying to say i just feel listless and useless and meaningless as though i ve failed in life,sadness
1787,i already feel awful about what happened and i actually needed to hear you say everything you just said more than anything else in the whole world,sadness
1359,i actually think i am a fairly authentic person generally i am pretty honest about my opinions desires etc and almost never lie even white lies but when it comes to those deep dark close to home negative feelings in your gut oh how i have repressed them out of fear,sadness
7025,i am having really badly cannot wear anything without causing spasms diarrhea or eat more than a few of mouthfuls i am feeling very miserable,sadness
28693,i feel burdened because yuchun and junsu have been doing so well,sadness
67379,i had to really say that i m feeling remorseful and regretful for what i ve done,sadness
42629,i feel like im in some kind of defective shell that prevents me from utilizing who i know myself to be from using the tools i was given,sadness
52381,i feel so empty i dont know what i am suppose to do,sadness
27711,i feel awkward around rose,sadness
20445,i don t feel as needy and desperate to prove things,sadness
28025,i feel bad for my mum who carries everything and everyone,sadness
103907,i was still feeling pretty discouraged when a friend of mine shared a verse with me may the god of hope fill you with all joy and peace as you trust in him so that you may overflow with hope by the power of the holy spirit,sadness
114168,im feeling too low for creative play,sadness
52486,i feel so foolish and ashamed,sadness
31838,i feel embarrassed or mean when i would do other wise,sadness
67868,i hate feeling so needy and yet knowing no one can help me feel better because the only thing that would make me happy and the only thing i need is doug,sadness
64735,i go back to feeling miserable plus my eyes itch and its hot,sadness
95147,i think the force of the disappointment that i feel when i get rejected from a job has to do with wanting to keep this shield up to replace academia with some other job any other job whether i actually want it or not,sadness
59524,i feel ugly and certainly days where i dont want to give look or act my best,sadness
74852,i just feel like a whiney bitch,sadness
86991,i remember feeling a little jaded after my first trip abroad like america had betrayed me somehow,sadness
68803,i have a feeling that prom will suck as signalled by the gloomy clouds and rainfall,sadness
106780,i woke up half way home and vaguely remember feeling lost the where am i,sadness
28645,i feel brow beaten whenever the bbc comes under attack i ve pumped all of mr lyons words into wordle,sadness
101196,i was feeling particularly gloomy the weather has the worst effect on me i didn,sadness
28037,i feel bad for people who try to figure me out because even i dont know who i am,sadness
112719,im feeling low or going through something difficult why is that the time that close friends choose to be moody or weird,sadness
69946,i have been feeling really needy of attention maybe because ryan has been working a lot and i am home by myself all day,sadness
96597,i try to convince him what he says he can t feel though in vain,sadness
91909,i still feel kind of listless and frustrated but its so much better than it was before,sadness
116068,im not in a bad mood but i feel messy and unmotivated,sadness
61586,i feel we will all be doomed to repeat the horrors of the great depression and the wiemar republic depression,sadness
24003,i feel a bit discontent that its passed me by again,sadness
114250,im feeling unloved and unwanted and as if the only person in the world who loves me is my child,sadness
4153,i am eating and also the way i feel although i do still feel groggy without the caffeine to wake me up that is something i am ok with as long as i dont have the heartburn and headaches,sadness
73541,i honor this higher self sometimes i feel that i am alone,sadness
76911,i knew i was on my way to the finish line but it didn t feel like it in fact i felt like the run and my suffering would never end,sadness
103970,i was still more optimistic about things and how simple i see things right now i feel jaded and worn out,sadness
37971,i feel lame just writing about life things anyway,sadness
50985,i feel shitty when im at work not doing much and not contributing to the bottom line because im not motivated i feel like a leech but i get paid and i dont turn it down,sadness
38211,i feel lethargic and drained,sadness
